,Product Name,Price,Description
82,Godrej 180 L Direct Cool Single Door 2 Star Refrigerator  with Jumbo Vegetable Tray And Wide Shelf Spa...,"₹12,690",Reciprocatory CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor
83,Whirlpool 235 L Frost Free Double Door 2 Star Refrigerator,"₹22,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
84,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
85,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,290",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
86,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
87,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹15,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
88,Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,340",Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool
89,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
90,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
91,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
92,Whirlpool 270 L Frost Free Multi-Door Refrigerator,"₹28,790",Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 9 Years Warranty on Compressor
93,Whirlpool 235 L Frost Free Multi-Door Refrigerator,"₹25,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
94,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
95,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
96,Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹16,734",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
97,Whirlpool 235 L Frost Free Double Door 2 Star Refrigerator,"₹21,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
98,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,990",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty and 9 Years Warranty on Compressor
99,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
100,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
101,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
102,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 5 Years Warranty on Compressor
103,Whirlpool 215 L Frost Free Multi-Door Refrigerator,"₹24,490",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
104,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
105,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
106,Godrej 180 L Direct Cool Single Door 2 Star Refrigerator  with Jumbo Vegetable Tray And Wide Shelf Spa...,"₹12,690",Reciprocatory CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor
107,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,290",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
108,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
109,Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,340",Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool
110,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
111,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹15,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
112,Whirlpool 270 L Frost Free Multi-Door Refrigerator,"₹28,790",Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 9 Years Warranty on Compressor
113,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
114,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
115,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
116,Whirlpool 235 L Frost Free Multi-Door Refrigerator,"₹25,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
117,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹20,100",InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
118,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
119,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
120,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
121,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
122,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
123,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
124,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 5 Years Warranty on Compressor
125,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
126,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
127,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
128,LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,"₹16,390",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
129,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
130,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
131,CANDY 240 L Frost Free Double Door 2 Star Refrigerator,"₹18,990",Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor
132,Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹15,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
133,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
134,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹15,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
135,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
136,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
137,Godrej 223 L Frost Free Double Door 2 Star Refrigerator  with Advanced Inverter and 95%+ Food Surface ...,"₹19,990",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
138,Haier 190 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer,"₹15,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years on Compressor
139,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
140,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,290",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
141,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹19,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
142,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
143,LG 185 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Smart Inverter Compressor ...,"₹16,390",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
144,Haier 190 L Direct Cool Single Door 5 Star Refrigerator,"₹16,734",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
145,Whirlpool 192 L Direct Cool Single Door 3 Star Refrigerator,"₹15,990",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty and 9 Years Warranty on Compressor
146,Whirlpool 215 L Frost Free Multi-Door Refrigerator,"₹24,490",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
147,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
148,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
149,SAMSUNG 223 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹17,790","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
150,Haier 190 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹16,890",Normal CompressorBuilt-in Stabilizer1 Year Warranty on Product and 5 Years Warranty on Compressor
151,Whirlpool 235 L Frost Free Double Door 2 Star Refrigerator,"₹22,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
152,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹17,690",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
153,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator with Base Drawer  with Digital Inverter,"₹16,390","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
154,Godrej 180 L Direct Cool Single Door 2 Star Refrigerator  with Jumbo Vegetable Tray And Wide Shelf Spa...,"₹12,690",Reciprocatory CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 5 Years Warranty on Motor
155,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹17,290",Inverter CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 9 Years Warranty on Compressor
156,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator  with Digital Inverter,"₹15,190","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
157,Whirlpool 207 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹19,340",Inverter CompressorBuilt-in Stabilizer1 Year on Product and 10 Years on Compressor from Whirlpool
158,Voltas Beko 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer,"₹15,490",Reciprocating CompressorBuilt-in Stabilizer1 Years Comprehensive Warranty on Product and Additional 10 Years on Compressor
159,SAMSUNG 183 L Direct Cool Single Door 3 Star Refrigerator with Base Drawer  with Digital Inverter,"₹15,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
160,Whirlpool 270 L Frost Free Multi-Door Refrigerator,"₹28,790",Reciprocating CompressorBuilt-in Stabilizer1 Year Warranty on Product and 9 Years Warranty on Compressor
161,Whirlpool 235 L Frost Free Multi-Door Refrigerator,"₹25,990",Reciprocating CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and  9 Years Warranty on Compressor
162,SAMSUNG 215 L Direct Cool Single Door 5 Star Refrigerator  with Digital Inverter,"₹19,990","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
163,SAMSUNG 183 L Direct Cool Single Door 4 Star Refrigerator  with Digital Inverter,"₹15,890","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
164,Godrej 183 L Direct Cool Single Door 3 Star Refrigerator  with Jumbo Vegetable Tray and Toughened Glas...,"₹13,990",Fixed Speed CompressorBuilt-in Stabilizer1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor
165,Whirlpool 192 L Direct Cool Single Door 5 Star Refrigerator,"₹20,100",InverterBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor
166,"LG 185 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Smart Inverter Compressor,...","₹16,490",Smart Inverter CompressorBuilt-in Stabilizer1 Year Warranty on Product and 10 Years Warranty on Compressor from LG
167,SAMSUNG 183 L Direct Cool Single Door 5 Star Refrigerator with Base Drawer  with Digital Inverter,"₹17,690","Digital Inverter CompressorBuilt-in Stabilizer1 year comprehensive warranty on the product, 20 years on compressor by the brand."
